id, location, age, rating, course_title, course_id, course_teacher, year_of_initiation
138, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
139, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
140, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
141, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
142, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
143, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
144, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
145, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
146, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
147, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
148, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
149, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
150, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
151, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
152, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
153, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
154, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
155, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
156, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
157, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
158, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
159, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
160, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
161, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
162, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
163, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
164, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
165, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
166, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
167, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
168, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
169, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
170, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
171, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
172, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
173, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
174, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
175, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
176, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
177, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
178, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
179, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
180, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
181, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
182, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
183, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
184, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
185, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
186, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
187, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
188, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
189, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
190, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
191, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
192, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
193, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
194, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
195, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
196, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
197, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
198, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
199, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
200, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
201, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
202, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
203, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
204, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
205, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
206, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
207, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
208, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
209, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
210, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
211, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
212, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
213, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
214, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
215, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
216, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
217, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
218, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
219, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
220, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
221, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
222, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
223, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
224, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
225, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
226, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
227, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
228, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
229, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
230, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
231, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
232, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
233, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
234, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
235, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
236, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
237, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
238, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
239, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
240, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
241, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
242, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
243, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
244, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
245, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
246, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
247, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
248, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
249, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
250, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
251, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
252, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
253, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
254, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
255, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
256, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
257, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
258, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
259, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
260, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
261, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
262, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
263, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
264, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
265, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
266, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
267, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
268, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
269, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
270, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
271, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
272, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
273, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
274, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
275, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
276, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
277, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
278, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
279, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
280, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
281, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
282, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
283, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
284, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
285, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
286, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
287, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
288, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
289, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
290, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
291, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
292, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
293, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
294, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
295, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
296, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
297, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
298, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
299, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
300, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
301, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
302, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
303, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
